word|transliteration
震える|ふるえる
磨く|みがく
カーテン|かーてん
火事|かじ
ナイフ|ないふ
皆さん|みなさん
受ける|うける
付く|つく
私|わたくし
結構|けっこう
悪口|わるくち
広まる|ひろまる
内緒|ないしょ
つぶる|つぶる
用件|ようけん
ロマンチック|ろまんちっく
貯金|ちょきん
バイク|ばいく
預かる|あずかる
オレンジ|おれんじ
噛む|かむ
きつい|きつい
越える|こえる
小包|こづつみ
新年|しんねん
配達|はいたつ
動物園|どうぶつえん
封筒|ふうとう
危ない|あぶない
テキスト|てきすと
ビニール|びにーる
アルバム|あるばむ
水泳|すいえい
混む|こむ
スカート|すかーと
取れる|とれる
ペン|ぺん
物|もの
郵便|ゆうびん
割れる|われる
駅員|えきいん
おしゃべり|おしゃべり
緑色|みどりいろ
毎朝|まいあさ
曲げる|まげる
きっと|きっと
理科|りか
下着|したぎ
太る|ふとる
冷房|れいぼう
別れる|わかれる
空く|あく
出掛ける|でかける
毎晩|まいばん
指輪|ゆびわ
腐る|くさる
貧乏|びんぼう
おしゃれ|おしゃれ
休憩|きゅうけい
舌|した
ジュース|じゅーす
ゼロ|ぜろ
朝刊|ちょうかん
丁寧|ていねい
苦手|にがて
日|ひ
引っ越し|ひっこし
歩道|ほどう
折れる|おれる
見送り|みおくり
夕刊|ゆうかん
この間|このあいだ
冷える|ひえる
ピンク|ぴんく
グラス|ぐらす
毛|け
黒板|こくばん
積もる|つもる
半年|はんとし
現在|げんざい
利用|りよう
方法|ほうほう
中心|ちゅうしん
明らか|あきらか
社長|しゃちょう
ほぼ|ほぼ
商品|しょうひん
大型|おおがた
限る|かぎる
記録|きろく
具体的|ぐたいてき
効果|こうか
公開|こうかい
作品|さくひん
迫る|せまる
大会|たいかい
背景|はいけい
文字|もじ
規則|きそく
近所|きんじょ
グラフ|ぐらふ
首都|しゅと
減らす|へらす
隠れる|かくれる
美術館|びじゅつかん
ばか|ばか
暇|ひま
絵葉書|えはがき
あんなに|あんなに
行き|いき
通勤|つうきん
ちゃんと|ちゃんと
のんびり|のんびり
緊張|きんちょう
気付く|きづく
物語|ものがたり
出口|でぐち
登る|のぼる
真っ白|まっしろ
下ろす|おろす
貸し出す|かしだす
サッカー|さっかー
暖房|だんぼう
手袋|てぶくろ
留守|るす
嘘|うそ
遠慮|えんりょ
折る|おる
スープ|すーぷ
バナナ|ばなな
可哀相|かわいそう
パトカー|ぱとかー
ハンバーガー|はんばーがー
毛布|もうふ
